"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_1","Metazoa","Arthropoda","Hexanauplia","Cyclopoida","Oithonidae","Oithona","Oithona similis"
"ASV_2","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"ASV_3","Metazoa","Arthropoda","Hexanauplia","Calanoida","Metridinidae","Metridia","no_hit"
"ASV_4","Metazoa","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","no_hit"
"ASV_5","no_hit","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","no_hit"
"ASV_6","no_hit","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","no_hit"
"ASV_7","Metazoa","Arthropoda","Hexanauplia","Calanoida","Calanidae","no_hit","no_hit"
"ASV_8","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"ASV_9","no_hit","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","no_hit","no_hit"
"ASV_10","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"ASV_11","no_hit","unknown","unknown","unknown","unknown","unknown","Acantharian sp. 6201"
"ASV_12","Metazoa","Chordata","Appendicularia","Copelata","Oikopleuridae","Oikopleura","Oikopleura dioica"
"ASV_13","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_14","Metazoa","Cnidaria","Hydrozoa","Siphonophorae","no_hit","no_hit","no_hit"
"ASV_15","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_16","no_hit","Dinophyceae","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Alexandrium","no_hit"
"ASV_17","no_hit","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","no_hit"
"ASV_18","no_hit","Dinophyceae","Dinophyceae","Gonyaulacales","Gonyaulacaceae","Alexandrium","no_hit"
"ASV_19","no_hit","Dinophyceae","Dinophyceae","Syndiniales","no_hit","no_hit","no_hit"
"ASV_20","no_hit","Dinophyceae","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Akashiwo","Akashiwo sanguinea"
"ASV_21","no_hit","Bacillariophyta","Coscinodiscophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros tenuissimus"
"ASV_22","no_hit","Dinophyceae","Dinophyceae","no_hit","no_hit","no_hit","no_hit"
"ASV_23","no_hit","Haptophyta","unknown","Phaeocystales","Phaeocystaceae","Phaeocystis","no_hit"
"ASV_24","no_hit","Imbricatea","unknown","Thaumatomonadida","Thaumatomastigidae","Protaspis","no_hit"
"ASV_25","Metazoa","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae","Clausocalanus","no_hit"
"ASV_26","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_27","no_hit","unknown","unknown","unknown","unknown","g_","s_"
"ASV_28","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_29","no_hit","Dinophyceae","Dinophyceae","Gymnodiniales","Gymnodiniaceae","Gyrodinium","no_hit"
"ASV_30","Metazoa","Arthropoda","Hexanauplia","Calanoida","no_hit","no_hit","no_hit"
"ASV_31","no_hit","Euglenozoa","unknown","Diplonemea","unknown","g_","s_"
"ASV_32","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_33","Metazoa","Arthropoda","Malacostraca","Euphausiacea","Euphausiidae","no_hit","no_hit"
"ASV_34","Metazoa","Arthropoda","Hexanauplia","Calanoida","Metridinidae","no_hit","no_hit"
"ASV_35","no_hit","Ciliophora","no_hit","no_hit","no_hit","g_","s_"
"ASV_36","no_hit","Bacillariophyta","Coscinodiscophyceae","no_hit","no_hit","no_hit","no_hit"
"ASV_37","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_38","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_39","no_hit","unknown","unknown","unknown","unknown","g_","s_"
"ASV_40","no_hit","unknown","Polycystinea","Nassellaria","Plagiacanthidae","Lithomelissa","Lithomelissa setosa"
