sample_id,input,filtered,denoisedF,denoisedR,merged,nonchim,perc_pass_filter,Order,sequencer
FD88,89099,62398,61661,61920,59615,57301,64.31160844,88,MiSeq
FD89,93545,63614,62939,63158,60821,58246,62.26521995,89,MiSeq
FD90,32041,6193,5951,6015,5757,4953,15.45831903,90,MiSeq
FD91,94639,80445,79915,80127,78770,76334,80.65807965,91,MiSeq
FD92,28316,25313,24862,24826,24292,24268,85.70419551,92,MiSeq
FD93,20271,17143,16974,16833,16307,16034,79.09821913,93,MiSeq
FD94,34868,30922,30559,30528,29987,29987,86.00149134,94,MiSeq
FD95,82338,14460,13996,14101,13679,13560,16.46870218,95,MiSeq
FK1,79356,52267,52080,52058,51487,49740,62.67957054,1,AVITI
FK2,100451,64641,64402,64351,63613,60856,60.5827717,2,AVITI
FK3,77967,49202,49049,49054,48502,46638,59.81761514,3,AVITI
FK4,89381,68119,67954,67997,67520,64576,72.24801692,4,AVITI
FK5,71819,46858,46634,46643,46085,44480,61.93347164,5,AVITI
FK6,85161,64516,64341,64365,61976,59978,70.42895222,6,AVITI
FK7,85682,64327,64054,64065,63459,61387,71.64515301,7,AVITI
FK8,75008,53143,52858,52843,52232,50884,67.83809727,8,AVITI
FK9,67041,46846,46669,46665,46286,44751,66.75168926,9,AVITI
FK10,76725,65119,64978,65030,64672,62114,80.95666341,10,AVITI
FK11,80076,58562,58392,58449,57937,55903,69.81242819,11,AVITI
FK12,100778,93226,93055,93099,92197,87867,87.18867213,12,AVITI
FK13,73946,55929,55846,55824,55543,53654,72.55835339,13,AVITI
FK14,90001,71575,71472,71445,71170,69365,77.07136587,14,AVITI
FK15,97272,78156,77973,78048,77640,75752,77.8764701,15,AVITI
FK16,93408,63452,63264,63298,62841,60134,64.37778349,16,AVITI
FK17,83911,73826,73713,73742,73271,70360,83.85074662,17,AVITI
FK18,100356,89692,89626,89610,89297,85537,85.2335685,18,AVITI
FK19,93258,76069,75977,75986,75661,72839,78.10482747,19,AVITI
FK20,83164,61709,61603,61588,61289,59367,71.38545525,20,AVITI
FK21,72805,46899,46762,46715,46236,44231,60.75269556,21,AVITI
FK22,91533,77760,77682,77658,77172,74016,80.8626397,22,AVITI
FK23,79770,66338,66280,66259,66013,63457,79.54995612,23,AVITI
FK24,82530,64278,64174,64167,63913,62114,75.26232885,24,AVITI
FK25,77592,51328,51212,51173,50765,48938,63.07093515,25,AVITI
FK26,102674,73877,73660,73731,73105,70141,68.31427625,26,AVITI
FK27,115116,107827,107681,107615,106668,95494,82.95458494,27,AVITI
FK28,89571,75421,75261,75312,74710,71362,79.67087562,28,AVITI
FK29,83251,63562,63446,63438,63094,60916,73.17149344,29,AVITI
FK30,102967,73050,72889,72866,72406,69633,67.62652112,30,AVITI
FK31,84544,56865,56737,56706,56242,54279,64.20207229,31,AVITI
FK32,89008,83615,83491,83470,82861,76710,86.18326443,32,AVITI
FK33,83737,75018,74923,74913,74332,70900,84.6698592,33,AVITI
FK34,73385,66470,66388,66351,65828,62663,85.38938475,34,AVITI
FK35,112770,87344,87157,87236,86735,83096,73.68626408,35,AVITI
FK36,86494,59194,59030,59063,58616,56732,65.59067681,36,AVITI
FK37,83276,73132,73044,73027,72501,69032,82.89543206,37,AVITI
FK38,103020,90397,90266,90263,89627,85744,83.23044069,38,AVITI
FK39,93426,83124,83021,83018,82481,78989,84.54712821,39,AVITI
FK40,118647,98954,98767,98774,98086,93731,78.99989043,40,AVITI
FK41,100130,60714,60515,60497,59863,57839,57.76390692,41,AVITI
FK42,87337,79825,79677,79688,78891,75552,86.50629172,42,AVITI
FK43,99443,86910,86731,86770,86074,82297,82.75796185,43,AVITI
FK44,89957,75743,75571,75649,75190,72585,80.6885512,44,AVITI
FK45,111417,93378,93167,93266,92838,90242,80.99482126,45,AVITI
FK46,75496,49955,49830,49824,49276,46963,62.20594469,46,AVITI
FK47,98123,84376,84155,84225,83364,79608,81.1308256,47,AVITI
FK48,94336,85584,85436,85484,84623,80638,85.47956242,48,AVITI
FK49,84509,67471,67355,67368,66978,64720,76.58355915,49,AVITI
FK50,92235,63824,63701,63677,63318,60879,66.00422833,50,AVITI
FK51,109604,78632,78431,78499,77987,75839,69.19364257,51,AVITI
FK52,92841,85109,84964,84965,84295,80903,87.1414569,52,AVITI
FK53,74894,66414,66296,66338,65226,62421,83.34579539,53,AVITI
FK54,86628,73456,73337,73381,72645,69588,80.32968555,54,AVITI
FK55,85436,56549,56440,56423,56068,54518,63.81150803,55,AVITI
FK56,94188,63856,63726,63695,63244,61125,64.89680214,56,AVITI
FK57,100518,70874,70564,70625,69939,67452,67.10439921,57,AVITI
FK58,78579,51570,51429,51414,51045,49392,62.85648837,58,AVITI
FK59,85276,75452,75373,75362,74897,71354,83.67418734,59,AVITI
FK60,85630,74381,74282,74276,73703,70308,82.10673829,60,AVITI
FK61,94294,80738,80637,80593,80064,76548,81.18013872,61,AVITI
FK62,72982,49711,49577,49599,49251,47606,65.22978269,62,AVITI
FK63,94675,75726,75538,75603,75128,72003,76.05281225,63,AVITI
FK64,103402,88908,88820,88850,88578,85899,83.07286126,64,AVITI
FK65,115285,99615,99496,99546,99051,94183,81.69579737,65,AVITI
FK66,124656,105865,105715,105748,105117,100018,80.23520729,66,AVITI
FK67,103677,78476,78282,78277,77660,74690,72.04105057,67,AVITI
FK68,97049,77269,77098,77119,76584,74006,76.25632412,68,AVITI
FK69,106587,93361,93222,93186,92802,89299,83.78038598,69,AVITI
FK70,115991,96917,96707,96770,96153,91621,78.9897492,70,AVITI
FK71,98456,80105,79985,79891,79323,76822,78.02673275,71,AVITI
FK72,99694,74812,74641,74708,74200,71099,71.31723073,72,AVITI
FK73,100607,76764,76597,76662,76184,73137,72.69573688,73,AVITI
FK74,98625,72615,72462,72517,72009,68861,69.82103929,74,AVITI
FK75,101788,74554,74413,74432,73922,70334,69.09851849,75,AVITI
FK76,111155,81359,81174,81236,80587,76909,69.19076965,76,AVITI
FK77,93398,73311,73140,73225,72733,69514,74.42771794,77,AVITI
FK78,80986,62320,62185,62242,61823,59035,72.89531524,78,AVITI
FK79,81977,60337,60195,60230,59764,57203,69.77932835,79,AVITI
FK80,94892,73295,73161,73189,72783,69897,73.65952873,80,AVITI
FK81,98633,72975,72808,72856,72379,69217,70.17631016,81,AVITI
FK82,96090,72182,71979,72061,71622,69112,71.92423769,82,AVITI
FK83,123942,94758,94571,94562,93403,89606,72.29671943,83,AVITI
FK84,96894,75287,75026,75166,74594,71282,73.56699073,84,AVITI
FK85,77850,54313,54179,54208,53781,51047,65.57096981,85,AVITI
FK86,96120,68211,68045,68082,67543,64342,66.93924261,86,AVITI
FK87,88039,65545,65406,65451,64998,62190,70.63914856,87,AVITI
FK88,88911,65049,64912,64939,64448,61446,69.109559,88,AVITI
FK89,93424,65180,65029,65034,64598,61292,65.6062682,89,AVITI
FK90,32025,8685,8683,8683,8575,7218,22.53864169,90,AVITI
FK91,94421,82152,81954,82073,81687,78692,83.34162951,91,AVITI
FK92,28244,26879,26805,26878,26713,25565,90.5147996,92,AVITI
FK93,20283,18775,18775,18773,18622,18277,90.10994429,93,AVITI
FK94,34890,32925,32925,32829,32771,31458,90.16337059,94,AVITI
FK95,82129,14794,14758,14704,14644,14457,17.6027956,95,AVITI
