MiSeq_plate,MiSeq_input,MiSeq_filtered,MiSeq_denoisedF,MiSeq_denoisedR,MiSeq_merged,MiSeq_nonchim,MiSeq_perc_pass_filter,AVITI_subsetted_plate,AVITI_subsetted_input,AVITI_subsetted_filtered,AVITI_subsetted_denoisedF,AVITI_subsetted_denoisedR,AVITI_subsetted_merged,AVITI_subsetted_nonchim,AVITI_subsetted_perc_pass_filter,Order
FD19,93397,72465,71964,71914,70306,68270,73.09656627,FK19,93258,76069,75977,75986,75661,72839,78.10482747,19
FD20,83352,59631,59144,59117,57481,56178,67.39850274,FK20,83164,61709,61603,61588,61289,59367,71.38545525,20
FD21,72853,45934,45124,45354,43245,41764,57.32639699,FK21,72805,46899,46762,46715,46236,44231,60.75269556,21
FD22,91669,76375,75543,75741,72818,70341,76.73368314,FK22,91533,77760,77682,77658,77172,74016,80.8626397,22
FD23,79864,63479,62770,62913,61142,59277,74.22242813,FK23,79770,66338,66280,66259,66013,63457,79.54995612,23
FD24,82602,62468,61802,62080,60575,59228,71.70286434,FK24,82530,64278,64174,64167,63913,62114,75.26232885,24
FD25,77734,48888,48224,48465,46561,45403,58.40816116,FK25,77592,51328,51212,51173,50765,48938,63.07093515,25
FD26,103013,76290,75680,75706,73577,71164,69.08254298,FK26,102674,73877,73660,73731,73105,70141,68.31427625,26
FD27,115490,105891,105024,105302,99943,90230,78.12797645,FK27,115116,107827,107681,107615,106668,95494,82.95458494,27
FD28,89721,75346,74135,74658,71844,69292,77.23052574,FK28,89571,75421,75261,75312,74710,71362,79.67087562,28
FD29,83312,62837,62383,62435,60786,59162,71.01257922,FK29,83251,63562,63446,63438,63094,60916,73.17149344,29
FD30,103031,71896,71079,71384,68865,66790,64.82514971,FK30,102967,73050,72889,72866,72406,69633,67.62652112,30
FD31,84775,57711,56828,56942,54508,52970,62.48304335,FK31,84544,56865,56737,56706,56242,54279,64.20207229,31
FD32,89230,81590,80912,81132,77392,72289,81.01423288,FK32,89008,83615,83491,83470,82861,76710,86.18326443,32
