ASV	14223c01_05c_eDNA	14223c01_07c_eDNA	14223c01_06c_eDNA	14223c01_10c_eDNA	14223c01_04c_eDNA	14223c01_09c_eDNA	14223c01_02c_eDNA	14223c01_01c_eDNA	14223c01_03c_eDNA	14223c01_12c_eDNA	14223c01_08c_eDNA	25424c01_12c_eDNA	25424c01_10c_eDNA	25424c01_09c_eDNA	25424c01_06c_eDNA	25424c01_03c_eDNA	25424c02_12c_eDNA	25424c02_10c_eDNA	25424c02_09c_eDNA	25424c02_06c_eDNA	25424c02_03c_eDNA	25424c03_12c_eDNA	25424c03_10c_eDNA	25424c03_09c_eDNA	25424c03_06c_eDNA	25424c03_03c_eDNA	22624c01_12c_eDNA	22624c01_10c_eDNA	22624c01_09c_eDNA	22624c01_06c_eDNA	22624c01_03c_eDNA	22624c02_12c_eDNA	22624c02_10c_eDNA	22624c02_09c_eDNA	22624c02_06c_eDNA	22624c02_03c_eDNA	22624c03_12c_eDNA	22624c03_10c_eDNA	22624c03_09c_eDNA	22624c03_06c_eDNA	22624c03_03c_eDNA	20524c02_12c_eDNA	20524c02_10c_eDNA	20524c02_09c_eDNA	20524c02_06c_eDNA	20524c02_03c_eDNA	20524c01_12c_eDNA	20524c01_10c_eDNA	20524c01_09c_eDNA	20524c01_06c_eDNA	20524c01_03c_eDNA	20524c03_12c_eDNA	20524c03_10c_eDNA	20524c03_09c_eDNA	20524c03_06c_eDNA	20524c03_03c_eDNA	17024c03_03c_eDNA	17024c03_06c_eDNA	17024c03_09c_eDNA	17024c03_10c_eDNA	17024c03_12c_eDNA	17024c02_03c_eDNA	17024c02_06c_eDNA	17024c02_09c_eDNA	17024c02_10c_eDNA	17024c02_12c_eDNA	17024c01_03c_eDNA	17024c01_06c_eDNA	17024c01_09c_eDNA	17024c01_10c_eDNA	17024c01_12c_eDNA	CN24F150mMV2_SC42	CN24F150mMV2_SC43	CN24F150mMV2_SC44	CN24F150mMV2_SC45	CN24F150mMV2_SC46	CN24F150mMV2_SC47	CN24F150mMV2_SC48	CN24F150mMV2_SC49	CN24F150mMV2_SC50	CN24F150mMV2_SC51	CN24F150mMV2_SC52	CN24F150mMV2_SC53	CN24F150mMV2_SC54	CN24F150mMV2_SC55	CN24F150mMV2_SC56	CN24F150mMV2_SC57	CN24F150mMV2_SC58	CN24F150mMV2_SC59	CN24F150mMV2_preblank	CN24F150mMV2_postblank	CN_MBTS_Dual_extraction_P1_DNA_EB	pcrblank1	pcrblank2	Art_Comm_FWAQ
ASV_11	68	43	75	880	15	1	0	1	2	335	0	0	512	82	51	19068	178	66	548	29	312	183	224	974	16	22	1	186	259	23	2991	1102	114	124	1	6	199	1211	854	5	76	68	84	451	17	105	20	113	865	0	7	107	1021	643	12	29	6	30	4268	373	309	55	13	259	294	564	6290	179	3295	2564	579	2489	2512	2569	3897	2932	1947	2562	3047	3272	3778	2037	3030	3313	2314	3515	3928	3454	4919	0	181	0	0	0	0
ASV_12	6786	3500	3925	3	8701	40	11301	5462	9440	2	147	0	0	0	197	963	0	0	2	30	1538	0	87	83	4	620	0	54	64	640	625	0	2	13	38	3261	1	1	10	13	5763	0	0	12	12	277	0	3	10	1631	2964	0	1	0	270	6944	6046	1998	9	0	3	9701	492	32	28	7	4786	745	4	13	0	110	97	102	152	148	79	105	136	94	139	125	103	83	128	137	127	126	185	0	0	0	0	0	0
ASV_13	10	21	8	3	16	433	15	2	15	3	27	0	464	2015	805	714	1	12	73	262	39	0	172	599	158	3	3	2644	9277	7065	2160	0	6	5	1572	19	1	2	2	717	57	9	310	1146	1743	1934	4	8	1021	2196	193	0	3	22	2642	79	64	1617	8	1	4	17	288	212	164	236	340	957	487	299	0	1336	1440	1341	1710	1690	958	1129	1270	1255	1415	704	1598	1146	1448	1428	1334	1296	1432	0	159	0	0	0	0
ASV_14	791	785	269	62	308	1340	445	203	2860	97	571	0	6	36	137	159	3	0	1572	205	4873	3	43	29	1007	748	0	88	156	3036	5007	5	14	12	1205	486	1	0	0	444	380	0	50	41	1246	2668	2	0	35	5269	441	0	5	2	121	336	72	145	0	0	0	36	130	10	11	0	84	461	6671	36	0	163	179	158	186	183	124	139	146	153	270	88	180	191	183	214	148	236	296	4754	87	0	0	0	0
ASV_15	928	1242	1246	0	245	166	1	0	5	0	409	0	1	19	786	964	1	2	11	835	1575	0	54	99	1134	567	3	202	478	1768	756	1	1	0	380	1704	0	1	0	323	1906	1	50	220	1798	1547	0	5	21	1539	1239	0	0	0	347	2685	888	1294	0	0	0	1438	1278	114	54	45	3546	5073	192	61	2	351	451	461	589	563	375	492	435	495	616	208	595	458	529	629	495	488	582	0	0	0	0	0	0
ASV_16	0	0	0	24	0	0	0	0	0	51	0	44	3	0	1	4	98	0	0	0	0	438	0	0	6	78	22157	995	137	57	211	10510	1388	1332	0	53	664	84	69	0	3	349	69	18	0	0	1059	65	38	0	0	684	86	5	1	0	0	27	2	21	68	0	0	240	453	1695	0	0	390	2182	1542	34	49	0	2	0	0	0	22	0	3	26	20	0	0	0	0	1	12	0	0	0	0	0	0
ASV_17	0	0	0	20	0	0	0	0	0	39	0	29	1	0	0	5	99	0	0	0	0	457	0	0	11	71	21612	1088	141	81	201	10475	1445	1373	1	29	716	80	67	1	0	368	52	14	0	2	1051	50	29	0	0	709	45	3	0	0	0	23	4	25	75	0	0	229	504	1710	0	0	339	2263	1503	30	49	3	0	0	0	0	49	0	0	21	24	0	0	0	0	0	17	0	0	0	0	0	0
ASV_18	12	20	10	383	8	145	6	11	6	218	19	264	60	28	150	206	45	77	25	105	81	118	158	124	155	135	2880	2928	555	142	64	1328	3383	3705	355	49	3093	4074	3689	194	250	667	701	368	114	134	795	1053	406	10	8	456	1356	936	222	35	17	108	853	1056	1454	40	70	380	605	568	149	195	110	264	79	102	124	137	207	177	101	110	118	141	159	137	192	123	104	219	121	173	154	0	44	0	0	0	0
ASV_19	0	0	0	0	0	0	1	0	0	0	0	1967	184	22	0	0	1987	138	192	0	0	926	15	15	56	0	841	4	0	36	2	925	110	162	0	0	3011	10	37	0	0	166	7	27	8	0	6295	34	6	6	0	23565	919	220	0	72	0	0	3	0	9	0	0	0	0	93	0	0	0	0	72	25	21	0	5	47	0	29	0	0	22	9	0	5	13	6	26	8	38	0	0	0	0	0	0
ASV_20	0	0	4	0	1	0	1	0	0	0	0	2700	264	50	30	93	9548	10799	3670	109	40	471	432	531	302	101	250	297	107	38	40	42	130	189	30	7	35	37	57	8	13	817	862	493	41	26	1979	2022	728	48	7	389	285	608	176	5	0	0	1	0	0	0	1	0	1	0	1	1	0	0	1	70	62	42	71	76	25	41	48	66	64	52	59	49	53	76	55	67	63	0	65	0	0	0	0
ASV_21	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	3	1	0	0	0	6	0	4	6	1	14	18	0	2	1	0	0	4	0	0	0	0	2238	3159	1328	0	4	532	6625	2222	0	24	537	427	1446	0	11	0	2	72	62	102	0	4	18	34	142	19	23	6	49	132	1032	1074	1001	1223	1135	750	797	1041	802	1254	441	1191	892	937	1133	1011	961	1041	0	316	0	0	0	0
ASV_22	14	57	42	45	1	100	30	10	4	35	419	91	14	2	17	49	400	36	35	39	117	274	50	97	60	58	148	19	22	61	60	334	59	83	78	54	182	21	31	58	72	163	111	25	50	147	151	6	6	27	49	185	67	26	43	72	16	156	108	196	224	15	36	135	170	1243	91	22	319	1885	254	1475	1352	1358	1832	1619	956	1186	1153	1350	1628	592	1775	1241	1617	1783	1436	1391	1619	0	1549	0	0	0	0
