#ASV	Domain	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_5019	Eukaryota	no_hit	Oomycota	unknown	Albuginales	Albuginaceae	Albugo	Albugo candida
ASV_5020	Eukaryota	Fungi	Chytridiomycota	Chytridiomycetes	Rhizophydiales	no_hit	no_hit	no_hit
ASV_5021	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Duboscquellidae	Duboscquella	no_hit
ASV_5022	Eukaryota	no_hit	unknown	Polycystinea	Nassellaria	Theoperidae	Cycladophora	Cycladophora cornuta
ASV_5023	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_5024	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_5025	Eukaryota	no_hit	unknown	Cryptophyceae	Pyrenomonadales	Geminigeraceae	Geminigera	Geminigera cryophila
ASV_5026	Eukaryota	no_hit	unknown	unknown	unknown	unknown	unknown	uncultured marine picoeukaryote
ASV_5027	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	no_hit	no_hit	no_hit
ASV_5028	Eukaryota	no_hit	unknown	unknown	Telonemida	no_hit	no_hit	no_hit
ASV_5029	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_5030	Eukaryota	no_hit	unknown	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_5031	Eukaryota	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_5032	Eukaryota	no_hit	Cercozoa	no_hit	no_hit	no_hit	no_hit	no_hit
