#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_6323	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	s_
ASV_6324	Metazoa	Chordata	Thaliacea	Doliolida	Doliolidae	Doliolum	Doliolum nationalis
ASV_6325	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	g_	s_
ASV_6326	no_hit	unknown	Pelagophyceae	no_hit	no_hit	no_hit	no_hit
ASV_6327	no_hit	Dinophyceae	Dinophyceae	Gymnodiniales	Kareniaceae	g_	s_
ASV_6328	Metazoa	Arthropoda	Ostracoda	Halocyprida	Halocyprididae	g_	s_
ASV_6330	no_hit	unknown	Bigyra	Nanomonadea	unknown	g_	s_
ASV_6331	no_hit	Dinophyceae	Dinophyceae	no_hit	no_hit	no_hit	s_
ASV_6332	no_hit	Dinophyceae	Dinophyceae	Peridiniales	Protoperidiniaceae	g_	s_
ASV_6333	Viridiplantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Crustomastigaceae	g_	s_
ASV_6334	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_6335	no_hit	Haptophyta	unknown	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_6336	no_hit	Dinophyceae	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Paragymnodinium	s_
ASV_6337	no_hit	Dinophyceae	Dinophyceae	Peridiniales	Peridiniaceae	g_	s_
ASV_6338	no_hit	Dinophyceae	Dinophyceae	Gymnodiniales	no_hit	g_	s_
ASV_6339	no_hit	Dinophyceae	Dinophyceae	Gymnodiniales	Warnowiaceae	Warnowia	Warnowia sp. BSL-2009a
ASV_6340	no_hit	unknown	unknown	unknown	unknown	g_	s_
ASV_6341	no_hit	Ciliophora	Oligohymenophorea	Philasterida	Loxocephalidae	g_	s_
ASV_6342	no_hit	unknown	Polycystinea	Nassellaria	Plagiacanthidae	Lithomelissa	s_
ASV_6343	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_6344	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_6345	no_hit	Euglenozoa	unknown	Diplonemea	unknown	g_	s_
ASV_6346	no_hit	Dinophyceae	Dinophyceae	no_hit	no_hit	g_	s_
ASV_6347	no_hit	Dinophyceae	Dinophyceae	Gymnodiniales	Kareniaceae	g_	s_
ASV_6348	no_hit	unknown	Polycystinea	no_hit	no_hit	no_hit	no_hit
ASV_6349	no_hit	Dinophyceae	Dinophyceae	no_hit	no_hit	g_	s_
ASV_6350	no_hit	Cercozoa	Thecofilosea	Phaeogromida	Challengeriidae	Protocystis	no_hit
ASV_6351	no_hit	unknown	Bolidophyceae	Parmales	Triparmaceae	Triparma	Triparma pacifica
ASV_6352	no_hit	unknown	unknown	unknown	unknown	g_	s_
ASV_6353	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_6354	no_hit	unknown	Choanoflagellata	no_hit	no_hit	g_	s_
ASV_6355	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_6356	Metazoa	Chordata	Appendicularia	Copelata	Fritillariidae	Fritillaria <tunicates>	no_hit
ASV_6357	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_6358	no_hit	unknown	Cryptophyceae	Pyrenomonadales	Pyrenomonadaceae	Rhodomonas	Rhodomonas abbreviata
ASV_6359	no_hit	Haptophyta	unknown	Pavlovales	Pavlovaceae	g_	s_
ASV_6360	no_hit	unknown	unknown	unknown	unknown	g_	s_
ASV_6361	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	g_	s_
ASV_6362	no_hit	Euglenozoa	unknown	Diplonemea	unknown	unknown	s_
ASV_6363	no_hit	Euglenozoa	unknown	Diplonemea	Diplonemidae	g_	s_
ASV_6364	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_6365	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	s_
ASV_6366	no_hit	unknown	Polycystinea	no_hit	no_hit	no_hit	s_
ASV_6367	no_hit	unknown	Polycystinea	no_hit	no_hit	no_hit	no_hit
ASV_6368	no_hit	Dinophyceae	Dinophyceae	Gymnodiniales	no_hit	no_hit	no_hit
ASV_6369	no_hit	unknown	unknown	unknown	unknown	g_	s_
ASV_6370	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	g_	s_
ASV_6371	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	s_
ASV_6372	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	g_	s_
ASV_6373	no_hit	Dinophyceae	Dinophyceae	Gymnodiniales	Gymnodiniaceae	g_	s_
ASV_6374	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_6375	no_hit	unknown	Choanoflagellata	Craspedida	Salpingoecidae	g_	s_
ASV_6376	Metazoa	Cnidaria	Hydrozoa	Trachymedusae	Rhopalonematidae	no_hit	no_hit
