#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_7778	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	g_	s_
ASV_7779	no_hit	Euglenozoa	Euglenida	Petalomonadida	Sphenomonadidae	g_	s_
ASV_7781	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	g_	s_
ASV_7782	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	s_
ASV_7784	no_hit	Imbricatea	unknown	Thaumatomonadida	no_hit	g_	s_
ASV_7785	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	g_	s_
ASV_7786	no_hit	Bacillariophyta	Bacillariophyceae	no_hit	no_hit	no_hit	no_hit
ASV_7788	Metazoa	Arthropoda	Hexanauplia	Harpacticoida	Ectinosomatidae	Microsetella	s_
ASV_7789	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_7792	Fungi	Ascomycota	Dothideomycetes	no_hit	no_hit	no_hit	no_hit
ASV_7795	Metazoa	Cnidaria	Hydrozoa	Anthoathecata	Pandeidae	no_hit	no_hit
ASV_7796	no_hit	unknown	Bigyra	Nanomonadea	unknown	Solenicola	Solenicola setigera
ASV_7797	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_7800	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	g_	s_
ASV_7801	no_hit	Dinophyceae	Dinophyceae	Gymnodiniales	Gymnodiniaceae	Akashiwo	Akashiwo sanguinea
ASV_7802	Viridiplantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Crustomastigaceae	g_	s_
ASV_7807	no_hit	Haptophyta	unknown	Prymnesiales	Chrysochromulinaceae	Chrysochromulina	Chrysochromulina strobilus
ASV_7810	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	g_	s_
ASV_7811	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	g_	s_
ASV_7812	no_hit	Dinophyceae	Dinophyceae	no_hit	no_hit	no_hit	s_
ASV_7814	no_hit	Dinophyceae	Dinophyceae	Syndiniales	no_hit	no_hit	s_
ASV_7815	no_hit	Dinophyceae	Dinophyceae	no_hit	no_hit	no_hit	s_
ASV_7816	no_hit	Dinophyceae	Dinophyceae	Syndiniales	no_hit	no_hit	no_hit
ASV_7817	no_hit	Dinophyceae	Dinophyceae	no_hit	no_hit	no_hit	s_
ASV_7818	no_hit	Dinophyceae	Dinophyceae	Syndiniales	no_hit	no_hit	no_hit
ASV_7821	no_hit	Apicomplexa	Aconoidasida	Piroplasmida	Babesiidae	g_	s_
ASV_7822	no_hit	unknown	unknown	unknown	unknown	g_	s_
ASV_7824	no_hit	unknown	Polycystinea	Nassellaria	Trissocyclidae	g_	s_
ASV_7828	no_hit	Foraminifera	unknown	Rotaliida	Globigerinidae	Globigerinita	Globigerinita glutinata
ASV_7830	no_hit	unknown	unknown	Telonemida	unknown	g_	s_
ASV_7831	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	s_
ASV_7832	no_hit	Dinophyceae	Dinophyceae	Syndiniales	no_hit	no_hit	no_hit
ASV_7835	no_hit	unknown	unknown	unknown	unknown	g_	s_
ASV_7836	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	g_	s_
ASV_7837	no_hit	unknown	Cryptophyceae	Cryptomonadales	Hemiselmidaceae	g_	s_
ASV_7840	no_hit	unknown	Bigyra	Thraustochytrida	Thraustochytriaceae	g_	s_
ASV_7842	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	no_hit	no_hit	no_hit
ASV_7843	Fungi	Basidiomycota	Malasseziomycetes	Malasseziales	Malasseziaceae	g_	s_
ASV_7846	no_hit	unknown	Pelagophyceae	no_hit	no_hit	no_hit	no_hit
ASV_7851	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	g_	s_
ASV_7853	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	Amoebophrya	no_hit
ASV_7854	Viridiplantae	Chlorophyta	Mamiellophyceae	Dolichomastigales	Crustomastigaceae	g_	s_
ASV_7856	no_hit	Endomyxa	Ascetosporea	Haplosporida	unknown	g_	s_
ASV_7857	no_hit	Endomyxa	Ascetosporea	Paradiniida	unknown	g_	s_
ASV_7858	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_7859	no_hit	Dinophyceae	Dinophyceae	Prorocentrales	Prorocentraceae	g_	s_
ASV_7860	no_hit	Dinophyceae	Dinophyceae	no_hit	no_hit	g_	s_
ASV_7862	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_7864	no_hit	unknown	unknown	unknown	unknown	unknown	s_
ASV_7866	no_hit	Dinophyceae	Dinophyceae	no_hit	no_hit	g_	s_
ASV_7867	no_hit	Dinophyceae	Dinophyceae	Blastodiniales	unknown	Blastodinium	no_hit
ASV_7869	no_hit	unknown	unknown	unknown	unknown	g_	s_
ASV_7871	no_hit	unknown	Polycystinea	Nassellaria	Pterocorythidae	g_	s_
ASV_7873	no_hit	unknown	unknown	unknown	unknown	g_	s_
ASV_7874	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	g_	s_
ASV_7875	no_hit	unknown	unknown	unknown	unknown	g_	s_
ASV_7882	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	g_	s_
ASV_7884	no_hit	Dinophyceae	Dinophyceae	Peridiniales	no_hit	no_hit	no_hit
ASV_7885	no_hit	Euglenozoa	unknown	Diplonemea	unknown	g_	s_
ASV_7886	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	g_	s_
ASV_7887	no_hit	unknown	unknown	unknown	unknown	unknown	Uncultured marine alveolate Group II DH147-EKD6
ASV_7888	no_hit	Dinophyceae	Dinophyceae	Gymnodiniales	Gymnodiniaceae	g_	s_
ASV_7889	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_7891	no_hit	Dinophyceae	Dinophyceae	Syndiniales	Amoebophryaceae	g_	s_
ASV_7892	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_7895	no_hit	Bacillariophyta	Bacillariophyceae	Bacillariales	Bacillariaceae	g_	s_
ASV_7898	Fungi	Mucoromycota	Mortierellomycetes	Mortierellales	Mortierellaceae	g_	s_
ASV_7899	no_hit	Imbricatea	unknown	Thaumatomonadida	no_hit	g_	s_
ASV_7901	Metazoa	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	no_hit	s_
ASV_7902	no_hit	Imbricatea	unknown	Thaumatomonadida	Thaumatomastigidae	g_	s_
ASV_7904	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
ASV_7905	no_hit	no_hit	no_hit	no_hit	no_hit	g_	s_
